"Company","Phone Number","Website URL","Street Address","Business Type","Business Hours","Google Maps URL","Rating","Number of Reviews","Last Updated"
"Nails studio Olena Dudka s.p., manikira in podaljševanje nohtov","+070735452","https://instagram.com/olena_nails_studio","Topniška ulica 35, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:30 AM - 6:00 PM | Tuesday: 9:30 AM - 6:00 PM | Wednesday: 9:30 AM - 6:00 PM | Thursday: 9:30 AM - 6:00 PM | Friday: 9:30 AM - 6:00 PM | Saturday: 10:00 AM - 4:00 PM | Sunday: Closed","https://maps.google.com/?cid=1951723668456381720","4.9","35","2024-12-03"
"My lepotilnica, Beauty Salon","+031626306","http://mybeauty.si/","Mestni trg 13, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 3:00 PM | Tuesday: 9:00 AM - 3:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=6565138292109560750","4.9","59","2024-12-03"
"Val__nails_studio","+071466325","","Miklošičeva cesta 3, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed","https://maps.google.com/?cid=12104077072759574551","5","11","2024-12-03"
"QUEEN'S NAILS","+070479349","","Miklošičeva cesta 15, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 10:00 AM - 6:00 PM | Tuesday: 10:00 AM - 6:00 PM | Wednesday: 10:00 AM - 6:00 PM | Thursday: 10:00 AM - 6:00 PM | Friday: 10:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=6321324112276121967","4.5","16","2024-12-03"
"La Bonita, kozmetične storitve, Ines Dugonjić s.p.","+040597666","https://www.labonita.si/","Dunajska c. 56, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=3584291142528666048","4.9","237","2024-12-03"
"Nail salon Alesnail","+3518875122","https://www.instagram.com/alesnail__?igsh=aDRscGJ4c2t1dzh3&utm_source=qr","Knezova ulica 25, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=17802755637761614030","5","7","2024-12-03"
"Wow nails","+071366369","https://www.instagram.com/wow_nails_si?igsh=bWsydXZvd2l1cDNy","Komenskega ulica 28, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 9:00 AM - 7:30 PM | Tuesday: 9:00 AM - 7:30 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: Closed","https://maps.google.com/?cid=10633676494844920529","4.3","32","2024-12-03"
"Center Nohtne Estetike Ljubljana","+041777874","https://www.instagram.com/idealnails.si/","Dunajska cesta 56 Pasaža Bežigrajski dvor, Dunajska c. 56, 1000 Ljubljana, Slovenia","Nail Salon","Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 2:00 PM | Sunday: Closed","https://maps.google.com/?cid=9726765194196794028","4.7","29","2024-12-03"
"Salon Lienela","+070777747","https://salon-lienela.si/","Vojkova cesta 63, 1000 Ljubljana, Slovenia","Beauty Salon","Monday: 6:30 AM - 8:00 PM | Tuesday: 6:30 AM - 8:00 PM | Wednesday: 6:30 AM - 8:00 PM | Thursday: 6:30 AM - 8:00 PM | Friday: 6:30 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=1543375480064119301","4.9","157","2024-12-03"
"ANADIYA - Nail Salon & Shop","+030310315","http://shop.anadiya.com/","Dunajska c. 63, 1000 Ljubljana, Slovenia","Nail Salon","","https://maps.google.com/?cid=10194177494969950343","5","1","2024-12-03"
"Čarobna Dolina, Studio Lepote in Zdravja","+030550005","https://carobnadolina.eu/","Rojčeva ulica 20, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 9:00 AM - 7:00 PM | Tuesday: 9:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 7:00 PM | Saturday: 9:00 AM - 7:00 PM | Sunday: Closed","https://maps.google.com/?cid=6097608944557690056","5","13","2024-12-03"
"Kozmetika in masaže Maša Zidar s.p.","+040297859","http://www.studio-mm.si/","Jalnova ulica 70, 1000 Ljubljana, Slovenia","Skin Care Clinic","Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed","https://maps.google.com/?cid=10732498874125677442","5","39","2024-12-03"
