Business Name,Type,Address,Phone,Website,Opening Hours,Maps URL,Rating,Reviews Count
QUEEN'S NAILS,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Miklošičeva cesta 15, 1000 Ljubljana, Slovenia",070 479 349,,Monday: 10:00 AM - 6:00 PM | Tuesday: 10:00 AM - 6:00 PM | Wednesday: 10:00 AM - 6:00 PM | Thursday: 10:00 AM - 6:00 PM | Friday: 10:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6321324112276121967,4.5,16
Nailsbeauty,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Šmartinska c. 106, 1000 Ljubljana, Slovenia",041 373 553,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10754763571225494841,4.9,23
Center Nohtne Estetike Ljubljana,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Dunajska cesta 56 Pasaža Bežigrajski dvor, Dunajska c. 56, 1000 Ljubljana, Slovenia",041 777 874,https://www.instagram.com/idealnails.si/,Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=9726765194196794028,4.7,29
"My lepotilnica, Beauty Salon","{'text': 'Skin Care Clinic', 'languageCode': 'en-US'}","Mestni trg 13, 1000 Ljubljana, Slovenia",031 626 306,http://mybeauty.si/,Monday: 9:00 AM - 3:00 PM | Tuesday: 9:00 AM - 3:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6565138292109560750,4.9,59
MY OH MY Ljubljana,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Metelkova ulica 15, 1000 Ljubljana, Slovenia",051 675 115,https://www.myohmy.si/,Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=15485331203505230525,4.3,17
"Nails studio Olena Dudka s.p., manikira in podaljševanje nohtov","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Topniška ulica 35, 1000 Ljubljana, Slovenia",070 735 452,https://instagram.com/olena_nails_studio,Monday: 9:30 AM - 6:00 PM | Tuesday: 9:30 AM - 6:00 PM | Wednesday: 9:30 AM - 6:00 PM | Thursday: 9:30 AM - 6:00 PM | Friday: 9:30 AM - 6:00 PM | Saturday: 10:00 AM - 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=1951723668456381720,4.9,35
Kozmetika in masaže Maša Zidar s.p.,"{'text': 'Skin Care Clinic', 'languageCode': 'en-US'}","Jalnova ulica 70, 1000 Ljubljana, Slovenia",040 297 859,http://www.studio-mm.si/,Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10732498874125677442,5,39
Nail salon Alesnail,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Knezova ulica 25, 1000 Ljubljana, Slovenia",351 887 5122,https://www.instagram.com/alesnail__?igsh=aDRscGJ4c2t1dzh3&utm_source=qr,,https://maps.google.com/?cid=17802755637761614030,5,7
Val__nails_studio,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Miklošičeva cesta 3, 1000 Ljubljana, Slovenia",071 466 325,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=12104077072759574551,5,11
Adriana D. Nohti- Ljubljana- Gel nohti- Podaljševanje nohtov- Permanetno lakiranje,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Šmartinska c. 106, 1000 Ljubljana, Slovenia",069 976 399,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 4:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=5347320578437267498,5,8
Nailbar nohtni studio,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Celovška cesta 185, 1000 Ljubljana, Slovenia",040 474 911,https://nailbar.si/,Monday: 5:00 - 9:00 PM | Tuesday: 5:00 - 9:00 PM | Wednesday: 5:00 - 9:00 PM | Thursday: 5:00 - 9:00 PM | Friday: 5:00 - 9:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=9661817692754303490,5,1
Indigo,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Dunajska c. 203, 1000 Ljubljana, Slovenia",0820 05280,,Monday: 8:00 AM - 4:00 PM | Tuesday: 11:00 AM - 7:00 PM | Wednesday: 8:00 AM - 4:00 PM | Thursday: 11:00 AM - 7:00 PM | Friday: 8:00 AM - 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=8723449875007973117,4.8,43
"Cartiel - Nail podjetje za estetiko, d.o.o., Ljubljana","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Peričeva ulica 27, 1000 Ljubljana, Slovenia",(01) 436 11 85,,,https://maps.google.com/?cid=10877130822494999232,5,1
Salon Lienela,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Vojkova cesta 63, 1000 Ljubljana, Slovenia",070 777 747,https://salon-lienela.si/,Monday: 6:30 AM - 8:00 PM | Tuesday: 6:30 AM - 8:00 PM | Wednesday: 6:30 AM - 8:00 PM | Thursday: 6:30 AM - 8:00 PM | Friday: 6:30 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=1543375480064119301,4.9,157
Ana Nail Studio,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Dunajska c. 388, 1231 Ljubljana - Črnuče, Slovenia",,,,https://maps.google.com/?cid=2832003474420319860,5,6
